Группа_Компаний,Юр_Лицо,ИНН,Комментарий,Контакты_ListOrg,Директор_ListOrg,ListOrg_URL
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВС 3""",4100054688,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВС 4""",4100054695,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВС 5""",4100054705,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС 1""",4100054712,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС 2""",4100054720,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС 3""",4100054737,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС 5""",4100054751,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРНАС 1""",4100054769,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРНАС 2""",4100054776,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРНАС 3""",4100054783,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРНАС 5""",4100054800,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙРОС""",4100055770,,"Адрес: 680017, Хабаровский край, г Хабаровск, ул Постышева, д 22А, офис 408",Перелыгин Дмитрий Павлович,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС""",4100055787,,"Адрес: 680017, Хабаровский край, г Хабаровск, ул Постышева, д 22А, офис 408",Перелыгин Дмитрий Павлович,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНФИШ Т""",4100055811,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВИОР""",4100056050,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКРУКС""",4100056068,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛИОТ""",4100056075,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬКОР""",4100056082,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТАИР""",4100056090,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАРД""",4100056100,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРКТУР""",4100056117,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕГА""",4100056124,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Налабордин Сергей Иванович,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙТОС""",4100056131,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСТОР""",4100056149,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПЕЛЛА""",4100056156,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЦИОН""",4100056163,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИУС""",4100056170,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГНУС""",4100056188,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУРАЙС""",4100056195,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО РЫБОЛОВЕЦКОЕ ПРЕДПРИЯТИЕ ""АКРОС""",4101013772,,"Адрес: 683016, Камчатский край, г Петропавловск-Камчатский, ул Мишенная, д 131 стр 13",Лысенко Сергей Алексеевич,
,РЫБОЛОВЕЦКИЙ КОЛХОЗ ИМ. В.И. ЛЕНИНА,4101016808,"Сверка PCA-списка (25.03.2026): Ната подтвердила — самостоятельная компания, без группы","Адрес: 683016, Камчатский край, г Петропавловск-Камчатский, ул Космонавтов, д 40",Тарусов Сергей Борисович,
ГК Океанрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТЯЗЬ-АВТО""",4101081250,"Требует проверки (ИИ): Нет достаточных данных для уверенного определения группы, так как связи с известными группами неясны.","Адрес: 684032, Камчатский край, Елизовский р-н, село Николаевка, мкр Энтузиастов, стр 1",Селезнев Степан Владимирович,
ГК УТРФ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УТРФ-КАМЧАТКА""",4101087870,,"Адрес: 683031, Камчатский край, г Петропавловск-Камчатский, ул Топоркова, д 10, офис 13",Арлукевич Ольга Анатольевна,
ГК Норебо,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛАРИС""",4101138370,,"Адрес: 683031, Камчатский край, г Петропавловск-Камчатский, пр-кт Карла Маркса, д 24",Латынцев Владимир Николаевич,https://www.list-org.com/company/6327432
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕР""",4101142626,,"Адрес: 680038, Хабаровский край, г Хабаровск, ул Серышева, д 34, офис 24",Арыков Алексей Владимирович,
ГК Океанрыбфлот,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕНИКС""",4101145169,,"Адрес: 683001, Камчатский край, г Петропавловск-Камчатский, ул Ленинская, д 26",Новоселов Евгений Аликович,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКРОС 3""",4101151638,,"Адрес: 683016, Камчатский край, г Петропавловск-Камчатский, ул Мишенная, д 131, офис 22",Лысенко Сергей Алексеевич,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯМСЫ""",4101153635,,"Адрес: 683016, Камчатский край, г Петропавловск-Камчатский, ул Мишенная, д 131 стр 13, офис 308",Галахин Михаил Юрьевич,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОД 415""",4101158009,,"Адрес: 683001, Камчатский край, г Петропавловск-Камчатский, ул Красинцев, д 1, помещ 4681",Баранов Максим Владимирович,https://www.list-org.com/company/7509188
Росрыбфлот,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБСПЕЦПРОМ""",4101166472,,"Адрес: 683023, Камчатский край, г Петропавловск-Камчатский, ул Абеля, д 6",Комаров Дмитрий Владимирович,
ГК УТРФ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УТРФ-ПАЛТУС""",4101180580,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 22, офис 9",Закшевский Анатолий Иванович,
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСКА ДВ""",4101189430,,"Адрес: 680000, Хабаровский край, г Хабаровск, ул Калинина, д 83А, офис 2",Базикалов Игорь Викторович,https://www.list-org.com/company/12364537
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ ДВ""",4101189462,,"Адрес: 680011, Хабаровский край, г Хабаровск, ул Джамбула, д 80/1, помещ 16/1",Батищев Иван Валерьевич,
ГК Океанрыбфлот,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЗОН""",4101190059,,"Адрес: 692922, ПРИМОРСКИЙ КРАЙ, Г.О. НАХОДКИНСКИЙ, Г. НАХОДКА, УЛ. ПОГРАНИЧНАЯ, Д. 19, ОФИС 4",Яцьков Сергей Станиславович,https://www.list-org.com/company/12439798
ГК Гидрострой ПБТФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБХОЛКАМ""",4108002681,,"Адрес: 684111, Камчатский край, Усть-Большерецкий р-н, село Запорожье, ул Центральная, стр 1",Барабанов Евгений Сергеевич,https://www.list-org.com/company/17608
ГК Гидрострой ПБТФ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОЗЕРНОВСКИЙ РЫБОКОНСЕРВНЫЙ ЗАВОД № 55""",4108003484,,"Адрес: 684110, Камчатский край, Усть-Большерецкий р-н, поселок Озерновский, ул Октябрьская, д 1А",Барабанов Сергей Анатольевич,
Группа Тихрыбком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИХООКЕАНСКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",4909053889,,"Адрес: 685000, Магаданская обл, г Магадан, ул Портовая, д 1",Котов Николай Михайлович,
ГК Норебо,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГАДАНРЫБА""",4909056047,,"Адрес: 685000, Магаданская обл, г Магадан, ул Пролетарская, д 11, офис 312",Теленков Руслан Николаевич,
Группа Тихрыбком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГ-СИ ИНТЕРНЕШНЛ""",4909070355,,"Адрес: 685000, Магаданская обл, г Магадан, ул Портовая, д 1",Котов Николай Михайлович,
ГК Норебо,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГАДАНТРАЛФЛОТ""",4909117170,,"Адрес: 683016, Камчатский край, г Петропавловск-Камчатский, ул Мишенная, д 131, офис 25",Лысенко Сергей Алексеевич,
ГК УТРФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГАДАНРЫБА 2""",4909122123,,"Адрес: 685000, Магаданская обл, г Магадан, ул Пролетарская, д 11, офис 312А",Куликовский Константин Владимирович,
ГК Норебо,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ""",5100000010,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, офис 401",Старков Денис Алексеевич,
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФРОСТЕР""",5105005573,"[ИИ, high]: Связана с компаниями из группы Миргородского–Озерского через узлы графа связей.","Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43, офис 403",Егоров Виктор Алексеевич,https://www.audit-it.ru/contragent/1035100048004_ooo-froster
ГК Норебо,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБНАЯ КОМПАНИЯ ""ПОЛЯРНОЕ МОРЕ+""",5105093964,,"Адрес: 184376, Мурманская обл, Кольский р-н, село Минькино, д 150Б",Загоровский Владимир Николаевич,https://www.audit-it.ru/contragent/1105105000736_ooo-rk-polyarnoe-more
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА ТРЕЙД""",5105097302,"[ИИ, high]: Связана с компаниями из группы Миргородского–Озерского через узлы графа связей.","Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43, офис 404",Егоров Виктор Алексеевич,https://www.audit-it.ru/contragent/1145105000776_ooo-alfa-treyd
ГК ФОР,ГАРАЖНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ № 74,5190001070,,"Адрес: 183038, Мурманская обл, г Мурманск, Рыбный проезд, д 8, офис 60",Головин Виктор Владимирович,https://www.list-org.com/company/6816955
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРНЫЕ ПРОМЫСЛЫ""",5190020202,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43",Гуляев Андрей Юрьевич,
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТА-ТРЕЙД""",5190029090,"[ИИ, high]: Связана с компаниями из группы Миргородского–Озерского через узлы графа связей.","Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43, офис 404",Егоров Виктор Алексеевич,
Группа Согласие,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190029544,,,,https://www.audit-it.ru/contragent/?search=5190029544&token=afdd911d1766b7b95907d20b3deb2296
ГК Норебо,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190033581,,,,https://www.audit-it.ru/contragent/?search=5190033581&token=275b10d68fdaaa9040d0a917a5a3464c
СЗРК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМЕТИСТ-ФИНАНС""",5190037870,АТФ,"Адрес: 183036, Мурманская обл, г Мурманск, ул Мира, д 4 к 2, кв 35",Максимов Александр Сергеевич,https://www.list-org.com/company/7955693
ГК Норебо,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190039389,,,,https://www.audit-it.ru/contragent/?search=5190039389&token=104540cd0eaaa2e9c623194f9c298b59
ГК ФОР,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИЧАЛ-Л""",5190045302,,"Адрес: 183003, Мурманская обл, г Мурманск, ул Три Ручья, д 41",Величко Владимир Юрьевич,
ГК ФОР,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190069022,,,,https://www.audit-it.ru/contragent/?search=5190069022&token=adec20658089eefa0df869df267484b3
МурманСиФуд,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ ТРЕСКА""",5190072546,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Карла Маркса, д 28",Хижняков Владимир Алексеевич,
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Б-КРАБ""",5190080138,,"Адрес: 690066, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ШИЛКИНСКАЯ, ЗД. 7Б, ОФИС 10","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",https://www.list-org.com/company/12280421
Группа Согласие,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА-ТРЕЙД""",5190091740,"Требует проверки (ИИ): Компания связана с обеими кандидатными группами через узлы графа связей, но нет явного указания на принадлежность к одной из них.","Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43, офис 404",Егоров Виктор Алексеевич,https://www.audit-it.ru/contragent/1225100003314_ooo-sigma-treyd
ГК Норебо,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190100161,МРФ,,,https://www.audit-it.ru/contragent/?search=5190100161&token=8ae6035de9ec9887e2e4c93971885a55
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭРИДАН""",5190103233,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, помещ XIII офис 208",Старков Денис Алексеевич,
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНАЯ КРАБОЛОВНАЯ КОМПАНИЯ""",5190119530,"[ИИ, high]: Компания связана с ООО ""ВИРМА"" и ООО ""СЕВЕРНЫЕ ПРОМЫСЛЫ"", которые входят в группу Миргородского–Озерского.","Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43",Журавлев Владимир Юрьевич,
Группа Согласие,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУРМАНСТРОЙ""",5190188460,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 11А, офис 1",Чевычало Игорь Викторович,https://www.audit-it.ru/contragent/1085190010400_ooo-murmanstroy
ГК Норебо,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190200910,МТФ,,,https://www.audit-it.ru/contragent/?search=5190200910&token=f0083638e543f94643d237179878987a
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАРАТ-1""",5190303200,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, офис 521",Старков Денис Алексеевич,
Группа Севрос,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОНОРД""",5190401649,,"Адрес: 183038, Мурманская обл, г Мурманск, пр-кт Ленина, д 104, офис 4",Бачурихина Марина Сережиковна,https://www.audit-it.ru/contragent/1025100862016_ooo-bionord
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБПРОМИНВЕСТ""",5190405869,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, офис 301",Старков Денис Алексеевич,
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ-МУРМАНСК""",5190411189,"[ИИ, high]: Компания связана с ООО ""ВИРМА"" и ООО ""СЕВЕРНЫЕ ПРОМЫСЛЫ"", которые входят в группу Миргородского–Озерского.","Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43",Журавлев Владимир Юрьевич,
МурманСиФуд,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190803212,,,,https://www.audit-it.ru/contragent/?search=5190803212&token=bdc93edfcd24d9f16cfdbd34ec467756
ГК ФОР,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",5190901845,,,,https://www.audit-it.ru/contragent/?search=5190901845&token=2c0863a40320a850c0b8bb78380d2b70
Звезда моряка (Армяне),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗВЕЗДА МОРЯКА""",5190910910,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Воровского, д 5/23, офис 401",Восканян Сергей Самвелович,
группа Миргородского–Озерского (Вирма–СЗРК),"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИКСЕРВИС""",5191204516,"[ИИ, high]: Компания связана с ООО ""ВИРМА"" и ООО ""СЕВЕРНЫЕ ПРОМЫСЛЫ"", которые входят в группу Миргородского–Озерского.","Адрес: 183038, Мурманская обл, г Мурманск, ул Траловая, д 43",Журавлев Владимир Юрьевич,
Группа Севрос,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВРОС""",5191311892,,"Адрес: 183038, Мурманская обл, г Мурманск, пр-кт Ленина, д 104, офис 4",Бачурихина Марина Сережиковна,
Группа Севрос,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОС-АРКТИК""",5191312712,,"Адрес: 183010, Мурманская обл, г Мурманск, ул Шмидта, д 6, офис 5",Болтиков Роман Васильевич,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАУРУС""",5191407587,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, помещ XIII офис 206/2",Старков Денис Алексеевич,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРЕЛЕЦ""",5191407604,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, помещ XIII офис 211",Старков Денис Алексеевич,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ГУБЕРНСКИЙ ФЛОТ""",5191431188,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, офис 401",Старков Денис Алексеевич,
Группа Мурманрыбфлот,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНРЫБФЛОТ 2""",5193104122,,"Адрес: 183010, Мурманская обл, г Мурманск, ул Шмидта, д 6, офис 5",Денисова Анна Юрьевна,
Группа Мурмансельдь,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСЕЛЬДЬ 2""",5193104130,,"Адрес: 183025, Мурманская обл, г Мурманск, ул Полярные Зори, д 22",Онискевич Олег Олегович,
МурманСиФуд,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОМПАНИЯ ""МУРМАН СИФУД""",5193410761,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Карла Маркса, д 28",Хижняков Владимир Алексеевич,
ГК ФОР,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ЛКТ""",5193410948,,"Адрес: 183010, Мурманская обл, г Мурманск, ул Декабристов, д 1",Борисов Александр Викторович,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЫБОПЕРЕРАБАТЫВАЮЩЕЕ ПРЕДПРИЯТИЕ ""МАКАРОВСКОЕ II""",6500000747,,"Адрес: 694140, Сахалинская обл, Макаровский р-н, г Макаров, ул Набережная, стр 31",Довгополый Анатолий Иванович,https://www.audit-it.ru/contragent/?search=6500000747&token=8158c834c3640e08f511e7f18e0c35c4
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПБТФ ПЛЮС""",6500001370,,"Адрес: 693010, Сахалинская обл, г Южно-Сахалинск, Алтайский пер, д 15, офис 403",Радионов Михаил Юрьевич,https://www.audit-it.ru/contragent/?search=6500001370&token=22303b270c32e23e60156ecd6ca8649b
ГК Норебо,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСКА""",6500004124,,"Адрес: 694520, Сахалинская обл, Южно-Курильский р-н, село Малокурильское, ул Советская, д 8, офис 5",Закревский Руслан Александрович,https://www.audit-it.ru/contragent/?search=6500004124&token=c323beda713226209d13497a6d5a17ee
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТРОВ 21""",6500008016,,"Адрес: 694500, Сахалинская обл, Южно-Курильский р-н, пгт Южно-Курильск, ул Набережная, зд 26",Бирюков Василий Васильевич,https://www.audit-it.ru/contragent/?search=6500008016&token=8338f3b3927f799c24741d4f89ed4516
